Classe,Detector,Bordas (%),IoU medio,F1 tolerante medio,Desvio F1
Maçã saudável,Sobel limiarizado,3.88336181640625,0.9541800043156305,0.996942164055991,0.00026842826484526657
Maçã saudável,Canny,3.51104736328125,0.8562668204415843,0.9712697892083846,0.002916492350695013
Sarna da macieira,Sobel limiarizado,6.4361572265625,0.9302346613967906,0.9935482682660719,0.000448774231213808
Sarna da macieira,Canny,8.06121826171875,0.8313415200491937,0.962137659282671,0.0016736628439310147
Podridão negra,Sobel limiarizado,38.39111328125,0.9489217625250795,0.9982969211726207,9.279301252204196e-05
Podridão negra,Canny,31.8817138671875,0.8870486802655384,0.9898365216843727,0.0005671957073674455
Ferrugem da macieira,Sobel limiarizado,2.98919677734375,0.938227680570465,0.9960974375709142,0.0004690749571907424
Ferrugem da macieira,Canny,2.9571533203125,0.8398611300837378,0.971573224402329,0.007241131115740386
